legal_entity_customer_number,banding,credit_risk_rating_description,exist_days,prod_mix_m1,prod_mix_m2,prod_mix_m3,prod_mix_m4,prod_mix_m5,prod_mix_m6,prod_mix_m7,prod_mix_m8,prod_mix_m9,sites_visited_m1,sites_visited_m2,sites_visited_m3,sites_visited_m4,sites_visited_m5,sites_visited_m6,sites_visited_m7,sites_visited_m8,sites_visited_m9,volume_m1,volume_m2,volume_m3,volume_m4,volume_m5,volume_m6,volume_m7,volume_m8,volume_m9,churn_label
1,D,B - Medium,6790,4,5,4,6,4,5,5,4,8,2,3,4,3,2,4,3,3,3,127.31,176.26,393.12,177.61,449.85,432.68,340.65,303.25,130.27,0
2,A,B - Medium,6827,13,12,13,12,13,13,13,13,12,45,50,43,40,40,48,42,40,43,76374.51,91474.95,91265.66,77123.13,87592.74,99156.59,98943.65,92565.49,96622.74,0
3,B,B - Medium,6874,11,11,10,12,9,8,10,10,9,53,56,61,47,48,51,56,50,55,45197.42,49695.54,52526.49,50446.21,52330.68,60659.14,52033.52,53419.82,53571.81,0
4,B,B - Medium,6906,9,11,11,9,10,9,9,10,9,26,21,27,23,22,19,13,14,18,3730.18,1985.29,2576.95,2125.07,2195.37,1833.97,450.36,640.08,963.88,0
5,B,B - Medium,6867,7,6,4,3,5,7,4,4,4,16,6,3,2,4,8,3,5,5,5855.45,3885.67,813.76,379.75,651.17,8363.76,1202.34,258.23,320.4,0
6,A,B - Medium,6841,11,9,8,7,8,10,8,8,9,70,81,72,68,83,91,98,91,97,152688.49,177755.32,157563.11,66205.11,128113.2,15778.89,12262.4,24178.29,7131.71,0
7,D,C - High Risk,6804,4,4,5,5,4,5,5,5,6,3,5,4,4,3,4,4,4,4,1096.73,1331.45,1250.34,1326.64,861.34,1013.93,935.65,1352.9,2629.17,0
8,D,B - Medium,6715,4,6,5,4,4,4,4,7,6,2,3,2,2,3,2,3,3,3,227.28,512.48,168.12,3.2,505.46,180.36,323.21,336.3,337.67,0
9,A,C - High Risk,7028,4,3,5,0,3,1,4,4,4,5,6,5,0,3,2,8,4,3,255.81,271.37,117.16,100,119.58,86.93,254.78,155.17,139.68,0
10,D,C - High Risk,6662,6,6,6,6,6,6,6,7,7,1,1,1,1,1,1,1,1,1,48.66,95.35,118.39,87.69,62.62,26.53,57.44,26.86,136.49,0
11,C,B - Medium,6994,5,5,5,5,4,3,3,2,3,6,7,5,6,7,5,6,5,6,1953.55,1802.74,1748.99,1639.18,2068.29,1638.6,2357.84,963.86,1972.88,0
12,B,B - Medium,6893,14,13,11,8,10,12,12,13,12,54,53,49,37,48,46,51,36,49,32353.5,31301.35,29548.74,20946.9,24081.82,26761.01,25249.8,23207.32,28504.94,0
13,C,B - Medium,6839,11,12,11,9,11,10,12,11,12,26,39,20,11,14,20,23,24,27,4978.61,5365.18,3498.06,1836.52,2931.91,4259.14,4724.71,4578.15,4960.88,0
14,B,C - High Risk,6837,9,10,10,13,9,9,13,10,12,77,73,59,51,63,79,76,72,78,8291.65,8537,6293.01,5714.87,7216.65,9454.83,9161.21,8489.38,9739.17,0
15,D,B - Medium,6792,3,5,4,3,4,5,5,4,5,12,12,12,9,12,12,12,11,12,1335.65,1607.74,2097.97,1574.8,1502.67,1518.13,1592.71,1658.14,1783.04,0
16,D,C - High Risk,6786,3,4,4,4,4,3,4,3,6,1,1,1,1,3,1,1,1,1,1241.98,1368.3,1166.72,632.29,854.87,1049.93,1261.22,1022.09,1524.07,0
17,C,B - Medium,6755,11,11,10,6,6,9,10,9,10,15,17,14,8,10,12,15,13,13,2584.86,2823.55,2409.74,968.57,1745.35,1826.08,2363.44,2136.09,2727.52,0
18,D,B - Medium,6744,3,5,4,1,1,1,1,0,2,2,5,3,2,1,1,1,0,3,104.42,934.83,500.18,367.93,59.24,36.42,42.57,0,76.83,0
19,B,B - Medium,6738,7,8,7,6,6,6,6,7,7,22,24,25,15,24,34,23,24,16,3167.49,6174.18,6842.37,2910.18,7234.4,11802.67,7468.45,5086.15,3250.66,0
20,D,B - Medium,6670,3,4,4,5,5,5,3,1,3,2,2,2,3,2,2,2,2,1,201.21,183.02,218.53,242.84,660.2,676.04,255.88,134.5,136.48,0
21,C,C - High Risk,6621,11,10,9,9,9,11,8,11,12,9,9,7,4,5,8,10,10,10,685.62,767.79,489.13,167.18,313.49,540.3,720.19,810.98,799.36,0
22,C,C - High Risk,6615,12,13,13,12,11,13,11,12,14,51,47,35,35,38,45,44,47,48,4756.23,4203.85,2953.12,2842.22,3792.77,3983.26,4112,4229.29,4849.76,0
23,D,B - Medium,6613,7,6,5,4,3,4,4,4,5,6,8,7,5,4,4,3,3,5,492.86,858.15,999.01,368.67,404.77,71.49,75.79,93.25,152.58,0
24,D,B - Medium,6601,9,9,10,8,6,8,10,9,10,2,3,3,3,2,3,3,3,3,79.34,158.62,241.06,221.69,34.37,90.67,99.1,74.52,139.78,0
25,D,B - Medium,6501,6,5,5,6,5,6,5,5,5,11,13,13,14,14,17,13,11,19,475.08,1381.61,1679.54,1772.84,1909.29,1824.01,1488.11,1707.83,2796.27,0
